I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 1002110.0, 1075008.0
64, 64, 64, 65, 3, 3, 1015990.0, 1057980.0
64, 64, 64, 66, 3, 3, 1029850.0, 1048824.0
64, 64, 64, 67, 3, 3, 1043660.0, 35010649.0
64, 64, 64, 68, 3, 3, 1057470.0, 1134816.0
64, 64, 64, 69, 3, 3, 1071280.0, 1120248.0
64, 64, 64, 70, 3, 3, 1085050.0, 1128640.0
64, 64, 64, 71, 3, 3, 1098820.0, 37100837.0
64, 64, 64, 72, 3, 3, 1112570.0, 1129680.0
64, 64, 64, 73, 3, 3, 1126300.0, 38145931.0
64, 64, 64, 74, 3, 3, 1140020.0, 1465552.0
64, 64, 64, 75, 3, 3, 1153720.0, 1199300.0
64, 64, 64, 76, 3, 3, 1167420.0, 1254432.0
64, 64, 64, 77, 3, 3, 1181090.0, 1238412.0
64, 64, 64, 78, 3, 3, 1194760.0, 1210536.0
64, 64, 64, 79, 3, 3, 1208400.0, 81320822.5
64, 64, 64, 80, 3, 3, 1222030.0, 1269960.0
64, 64, 64, 81, 3, 3, 1235660.0, 1276776.0
64, 64, 64, 82, 3, 3, 1249270.0, 1613776.0
64, 64, 64, 83, 3, 3, 1262870.0, 85438332.5
64, 64, 64, 84, 3, 3, 1276440.0, 1291392.0
64, 64, 64, 85, 3, 3, 1290010.0, 1347612.0
64, 64, 64, 86, 3, 3, 1303590.0, 1687888.0
64, 64, 64, 87, 3, 3, 1317120.0, 1389384.0
64, 64, 64, 88, 3, 3, 1330670.0, 1398432.0
64, 64, 64, 89, 3, 3, 1344170.0, 91614597.5
64, 64, 64, 90, 3, 3, 1357690.0, 1372248.0
64, 64, 64, 91, 3, 3, 1371200.0, 1429764.0
64, 64, 64, 92, 3, 3, 1384690.0, 1493664.0
64, 64, 64, 93, 3, 3, 1398160.0, 1479096.0
64, 64, 64, 94, 3, 3, 1411620.0, 1838080.0
64, 64, 64, 95, 3, 3, 1425070.0, 1505188.0
64, 64, 64, 96, 3, 3, 1438520.0, 1453104.0
64, 64, 64, 97, 3, 3, 1451960.0, 100467459.0
64, 64, 64, 98, 3, 3, 1465410.0, 1525440.0
64, 64, 64, 99, 3, 3, 1478800.0, 1509336.0
64, 64, 64, 100, 3, 3, 1492190.0, 1582336.0
64, 64, 64, 101, 3, 3, 1505590.0, 104610447.0
64, 64, 64, 102, 3, 3, 1518980.0, 1533960.0
64, 64, 64, 103, 3, 3, 1532390.0, 106681941.0
64, 64, 64, 104, 3, 3, 1545720.0, 1614048.0
64, 64, 64, 105, 3, 3, 1559070.0, 1621116.0
64, 64, 64, 106, 3, 3, 1572420.0, 2072224.0
64, 64, 64, 107, 3, 3, 1585760.0, 110824929.0
64, 64, 64, 108, 3, 3, 1599080.0, 1614816.0
64, 64, 64, 109, 3, 3, 1612400.0, 112896423.0
64, 64, 64, 110, 3, 3, 1625720.0, 1698312.0
64, 64, 64, 111, 3, 3, 1639030.0, 1748232.0
64, 64, 64, 112, 3, 3, 1652340.0, 1716792.0
64, 64, 64, 113, 3, 3, 1665610.0, 231588697.5
64, 64, 64, 114, 3, 3, 1678890.0, 1695672.0
64, 64, 64, 115, 3, 3, 1692150.0, 1820340.0
64, 64, 64, 116, 3, 3, 1705430.0, 1852512.0
64, 64, 64, 117, 3, 3, 1718660.0, 1741896.0
64, 64, 64, 118, 3, 3, 1731910.0, 2306368.0
64, 64, 64, 119, 3, 3, 1750980.0, 1812468.0
64, 64, 64, 120, 3, 3, 1758390.0, 1776528.0
64, 64, 64, 121, 3, 3, 1771620.0, 1840542.0
64, 64, 64, 122, 3, 3, 1784820.0, 2384416.0
64, 64, 64, 123, 3, 3, 1798030.0, 1927656.0
64, 64, 64, 124, 3, 3, 1811220.0, 1972128.0
64, 64, 64, 125, 3, 3, 1824410.0, 1977916.0
64, 64, 64, 126, 3, 3, 1837600.0, 1857384.0
64, 64, 64, 127, 3, 3, 1850770.0, 260281102.5
64, 64, 64, 128, 3, 3, 1863940.0, 1937472.0
64, 64, 64, 129, 3, 3, 1877100.0, 2017368.0
64, 64, 64, 130, 3, 3, 1890260.0, 2007096.0
64, 64, 64, 131, 3, 3, 1903430.0, 268478932.5
64, 64, 64, 132, 3, 3, 1916570.0, 1938240.0
64, 64, 64, 133, 3, 3, 1929690.0, 2003820.0
64, 64, 64, 134, 3, 3, 1942820.0, 2618560.0
64, 64, 64, 135, 3, 3, 1955940.0, 1974456.0
64, 64, 64, 136, 3, 3, 1969080.0, 2045280.0
64, 64, 64, 137, 3, 3, 1982160.0, 280775677.5
64, 64, 64, 138, 3, 3, 1995260.0, 2019096.0
64, 64, 64, 139, 3, 3, 2008370.0, 284874592.5
64, 64, 64, 140, 3, 3, 2021460.0, 2099496.0
64, 64, 64, 141, 3, 3, 2034560.0, 2196792.0
64, 64, 64, 142, 3, 3, 2047610.0, 2774656.0
64, 64, 64, 143, 3, 3, 2060720.0, 2125002.0
64, 64, 64, 144, 3, 3, 2073770.0, 2090736.0
64, 64, 64, 145, 3, 3, 2086810.0, 2293068.0
64, 64, 64, 146, 3, 3, 2099870.0, 2852704.0
64, 64, 64, 147, 3, 3, 2112910.0, 2195172.0
64, 64, 64, 148, 3, 3, 2126010.0, 2330976.0
64, 64, 64, 149, 3, 3, 2138990.0, 607465959.75
64, 64, 64, 150, 3, 3, 2152020.0, 2180808.0
64, 64, 64, 151, 3, 3, 2165040.0, 615619865.25
64, 64, 64, 152, 3, 3, 2178060.0, 2260896.0
64, 64, 64, 153, 3, 3, 2191070.0, 2207016.0
64, 64, 64, 154, 3, 3, 2204080.0, 2267232.0
64, 64, 64, 155, 3, 3, 2217080.0, 2450644.0
64, 64, 64, 156, 3, 3, 2230080.0, 2261664.0
64, 64, 64, 157, 3, 3, 2250260.0, 640081581.75
64, 64, 64, 158, 3, 3, 2256060.0, 3086848.0
64, 64, 64, 159, 3, 3, 2269050.0, 2465928.0
64, 64, 64, 160, 3, 3, 2282020.0, 2368704.0
64, 64, 64, 161, 3, 3, 2294990.0, 2386524.0
64, 64, 64, 162, 3, 3, 2307950.0, 2323296.0
64, 64, 64, 163, 3, 3, 2320910.0, 664543298.25
64, 64, 64, 164, 3, 3, 2333910.0, 2570208.0
